feature,importance
reactor_temp_rolling_mean_60,0.14109938632872351
conversion_rate,0.13367742670508984
coolant_flow_rate_rolling_mean_60,0.09974917853337814
ambient_temp_effect,0.08569882557588991
feed_flow_rate,0.08128373322886412
vibration_rms_rolling_mean_60,0.07740796242275244
motor_current_rolling_mean_60,0.0615081241571197
reactor_temp,0.05923820707618262
vibration_rms,0.042336621442084395
coolant_flow_rate,0.03149087353715697
dayofweek,0.029281230408723852
reaction_rate,0.027458191094041337
reactor_pressure_rolling_mean_60,0.02656585451975064
month,0.023988047294811077
motor_current,0.021553110564172466
hour,0.015703037800462328
vibration_rms_rolling_std_60,0.008727002530051453
reactor_pressure,0.008319922033928766
motor_current_rolling_std_60,0.0040720644871159095
reactor_temp_rolling_std_60,0.00316236990388626
power_consumption_kw_rolling_std_60,0.0030729770812614027
temp_setpoint,0.002849478865740934
coolant_flow_rate_rolling_std_60,0.002846417636078269
reactor_pressure_rolling_std_60,0.0027018907232015765
pressure_setpoint,0.002465530181136015
power_consumption_kw_rolling_mean_60,0.0020913781833474194
yield_pct,0.0009462143326073506
power_consumption_kw,0.000367821861229044
selectivity,0.00018323120690801525
agitator_speed_rpm,0.00015389028430445498
